productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
5OVYBQIYRFOO,12.52,49.97,62.49,Seagate Portable USB 3.0 (Capacity),Seagate Backup Plus Slim STHN1000400 1 TB Hard Drive - External - Portable,Hard Drives,4.6,82.0,Seagate,269,269,00763649134177,https://i5.walmartimages.com/asr/4b752daa-5146-4fa8-8b78-122cb8531582_1.71400b6ed77c22f36a74a5384fe6c423.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2ED4L91KGIV4,80.0,99.0,179.0,"Walmart Family Mobile Samsung Galaxy A11, 32GB Black - Prepaid Smartphone","With its long-lasting, fast-charging battery, you'll have plenty of juice for whatever life throws your way. Capture the perfect shot with ease thanks to the triple lens camera. Plus, it all looks",Cell Phones,3.5,20.0,SAMSUNG,1070,1070,00616960378525,https://i5.walmartimages.com/asr/976cc1ac-7bdd-4a3e-84ea-f3a6e720d8b3.69e3fc1624f33422f2b792ac27dfd10c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
1KLKUPCV53IV,40.0,149.0,189.0,"ARRIS SURFboard DOCSIS 3.1 Gigabit Cable Modem, Approved for Cox, Xfinity, Spectrum & others",Capable of the fastest download speeds available from cable providersDOCSIS 3.1 cable modem2 x Gigabit Ethernet ports,Modems,4.2,143.0,ARRIS,1784,1784,00612572211373,https://i5.walmartimages.com/asr/c85e835f-57ff-42a4-adc7-99396b5ccc92_1.da9253415da4274aa8e8e105ebc50aa7.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
0VI1UHEBZYES,14.0,65.0,79.0,"onn. Rolling TV Stand for 32""- 70"" TVs","Supports 32""-70"" TVsHolds up to 100 lbs (45.5 kg)Tilts -10/+15 degrees",Electronics Stands,4.4,87.0,onn.,524,524,00681131284639,https://i5.walmartimages.com/asr/9eec018b-33d0-41e4-8ead-2a934b0340d7.72539d23b48db234fe61135e5ced4e33.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2G9HI17SVTQK,7.0,52.99,59.99,HyperX Cloud Stinger S 7.1 Gaming Headset for PC,Virtual 7.1 surround sound via HyperX NGENUITY: Get more immersion and better positional audio with the virtual 7.1 surround sound provided by HyperX NGENUITY software.Immersive in-game,Headsets,4.8,11.0,HyperX,7052,7052,00740617302240,https://i5.walmartimages.com/asr/f3e784e4-d4e5-4297-ab9d-cc437c2c9160.14483f593471067375cb46025b3e76f2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
39DXLUQUDYJB,50.0,99.99,149.99,"SAMSUNG Galaxy Buds+, Cosmic Black (Charging Case Included)","Exactly what you want to hear. Galaxy Buds+ are the perfect fitting earbuds to isolate you from distracting noises, so you can stay focused on what you want. And if youd like to filter in some of the",Headphones,3.7,126.0,SAMSUNG,430,430,00887276413914,https://i5.walmartimages.com/asr/35c9b7ad-a2ca-4ea6-89b9-52dc45ab3aac_1.23ec498a06fe3a427f8489a69b864c98.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
7ENV17T2QAZO,50.0,199.0,249.0,"Acer Chromebook 311 CB311-10H-41M9, Military Standard (MIL-STD 810G) impact-resistant body; AMD A-Series Dual-Core A4-9120C, 11.6"" HD, 4GB DDR4, 64GB eMMC, 802.11ac WiFi 5, Bluetooth 4.2, Chrome OS",Merchandise,Laptop Computers,4.1,12.0,Acer,1703,1703,00195133094115,https://i5.walmartimages.com/asr/8e78beb9-9146-4927-b93c-e932dcc1444a.8487ad092cb95e945cd50468ae4d864e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
1D3TWZKPCAXL,30.0,29.99,59.99,"Philips UT102 Wireless In-Ear Headphone, Black",Philips True Wireless UT102 headphones with great audio quality and punchy bassUp to 3 hours of play time + 9 more from the charging caseUltra-compact charging case that slips,Headphones,3.9,62.0,Philips,570,570,00840063200494,https://i5.walmartimages.com/asr/e044fbe7-ce75-4bff-8f4d-37e47a5680b7.508ea0408dd96acc138ac15acced363f.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5PB7SWIJ9YRS,130.0,169.0,299.0,"Core Innovations CLT136401BL 14"" Notebook - Intel Atom Z3850 - 4GB RAM - 64GB SSD - 1920 x 1080 - Windows 10 S - Black","14"" Laptop with Windows 10 SIntel Atom Processor4GB RAM/64 GB Flash Storage",Laptop Computers,3.4,156.0,Core Innovations,2503,2503,00850017290204,https://i5.walmartimages.com/asr/d4c0971b-b76d-4540-b2f7-f02731110e1a.08d2e7de69104dec209ee57bbedee778.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
72MMTQCGBIQO,49.12,29.88,79.0,"Simple Mobile LG Journey, 32GB, Black- Prepaid Smartphone","4.45"" HD+ Full Vision Display5MP Front Camera and 8MP Rear Camera3,000 mAh Battery",Cell Phones,4.2,13.0,LG,198,198,00616960333005,https://i5.walmartimages.com/asr/893a96c4-7084-4d31-ae6a-b88c04e425eb_1.e625373cf9f15f3d39a206009e5a2c30.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
